Datetime,Close,High,Low,Open,Volume
2026-06-30 09:29:00,2770.0,2770.0,2760.0,2770.0,757600
2026-06-30 09:30:00,2760.0,2770.0,2760.0,2770.0,554300
2026-06-30 09:31:00,2770.0,2770.0,2760.0,2770.0,229400
2026-06-30 09:32:00,2770.0,2770.0,2760.0,2770.0,127300
2026-06-30 09:33:00,2770.0,2770.0,2760.0,2770.0,122800
2026-06-30 09:34:00,2760.0,2770.0,2760.0,2770.0,795400
2026-06-30 09:35:00,2770.0,2770.0,2760.0,2760.0,57700
2026-06-30 09:36:00,2770.0,2770.0,2760.0,2760.0,214700
2026-06-30 09:37:00,2770.0,2770.0,2760.0,2770.0,393100
2026-06-30 09:38:00,2770.0,2770.0,2760.0,2770.0,381500
2026-06-30 09:39:00,2770.0,2770.0,2760.0,2770.0,344100
2026-06-30 09:40:00,2760.0,2770.0,2760.0,2770.0,147200
2026-06-30 09:41:00,2770.0,2770.0,2760.0,2760.0,1327300
2026-06-30 09:42:00,2770.0,2770.0,2760.0,2770.0,410400
2026-06-30 09:43:00,2760.0,2770.0,2760.0,2770.0,511300
2026-06-30 09:44:00,2760.0,2770.0,2760.0,2770.0,256800
2026-06-30 09:45:00,2770.0,2770.0,2760.0,2760.0,275200
2026-06-30 09:46:00,2770.0,2770.0,2760.0,2760.0,3675300
2026-06-30 09:47:00,2770.0,2770.0,2760.0,2770.0,797100
2026-06-30 09:48:00,2770.0,2770.0,2760.0,2770.0,1525100
2026-06-30 09:49:00,2770.0,2770.0,2760.0,2770.0,1171400
2026-06-30 09:50:00,2770.0,2770.0,2760.0,2770.0,636900
2026-06-30 09:51:00,2780.0,2780.0,2760.0,2770.0,1874200
2026-06-30 09:52:00,2780.0,2780.0,2770.0,2770.0,111800
2026-06-30 09:53:00,2780.0,2780.0,2770.0,2780.0,179700
2026-06-30 09:54:00,2780.0,2780.0,2770.0,2780.0,448300
2026-06-30 09:55:00,2780.0,2780.0,2770.0,2780.0,153800
2026-06-30 09:56:00,2770.0,2780.0,2770.0,2780.0,368700
2026-06-30 09:57:00,2780.0,2780.0,2770.0,2780.0,247900
2026-06-30 09:58:00,2780.0,2780.0,2770.0,2780.0,972800
2026-06-30 09:59:00,2780.0,2780.0,2770.0,2780.0,205800
2026-06-30 10:00:00,2780.0,2780.0,2770.0,2770.0,126400
2026-06-30 10:01:00,2770.0,2780.0,2770.0,2780.0,170100
2026-06-30 10:02:00,2780.0,2790.0,2770.0,2780.0,4430900
2026-06-30 10:03:00,2780.0,2780.0,2770.0,2780.0,421700
2026-06-30 10:04:00,2780.0,2780.0,2770.0,2780.0,175400
2026-06-30 10:05:00,2790.0,2790.0,2770.0,2780.0,955100
2026-06-30 10:06:00,2790.0,2790.0,2780.0,2790.0,112800
2026-06-30 10:07:00,2790.0,2790.0,2780.0,2780.0,296900
2026-06-30 10:08:00,2790.0,2790.0,2780.0,2790.0,228500
2026-06-30 10:09:00,2790.0,2790.0,2780.0,2790.0,169800
2026-06-30 10:10:00,2780.0,2790.0,2770.0,2790.0,2168000
2026-06-30 10:11:00,2780.0,2780.0,2770.0,2780.0,832600
2026-06-30 10:12:00,2770.0,2780.0,2770.0,2780.0,288500
2026-06-30 10:13:00,2780.0,2780.0,2770.0,2770.0,41400
2026-06-30 10:14:00,2770.0,2780.0,2770.0,2780.0,75600
2026-06-30 10:15:00,2770.0,2780.0,2770.0,2780.0,191900
2026-06-30 10:16:00,2780.0,2780.0,2770.0,2780.0,37700
2026-06-30 10:17:00,2770.0,2780.0,2770.0,2780.0,89700
2026-06-30 10:18:00,2780.0,2780.0,2770.0,2780.0,74400
2026-06-30 10:19:00,2770.0,2780.0,2770.0,2780.0,316800
2026-06-30 10:20:00,2780.0,2780.0,2770.0,2780.0,167000
2026-06-30 10:21:00,2770.0,2780.0,2770.0,2780.0,138900
2026-06-30 10:22:00,2780.0,2780.0,2770.0,2780.0,253700
2026-06-30 10:23:00,2780.0,2780.0,2770.0,2780.0,618900
2026-06-30 10:24:00,2770.0,2780.0,2770.0,2780.0,270100
2026-06-30 10:25:00,2780.0,2780.0,2770.0,2770.0,123400
2026-06-30 10:26:00,2780.0,2780.0,2770.0,2770.0,235400
2026-06-30 10:27:00,2770.0,2780.0,2770.0,2770.0,233200
2026-06-30 10:28:00,2780.0,2780.0,2770.0,2780.0,340400
2026-06-30 10:29:00,2770.0,2780.0,2770.0,2780.0,107100
2026-06-30 10:30:00,2780.0,2780.0,2770.0,2780.0,262500
2026-06-30 10:31:00,2780.0,2780.0,2770.0,2770.0,459100
2026-06-30 10:32:00,2780.0,2780.0,2770.0,2780.0,148700
2026-06-30 10:33:00,2780.0,2780.0,2770.0,2780.0,196100
2026-06-30 10:34:00,2770.0,2780.0,2770.0,2780.0,185500
2026-06-30 10:35:00,2780.0,2780.0,2770.0,2780.0,72600
2026-06-30 10:36:00,2770.0,2780.0,2760.0,2780.0,7656200
2026-06-30 10:37:00,2780.0,2780.0,2770.0,2770.0,118600
2026-06-30 10:38:00,2770.0,2780.0,2770.0,2780.0,69200
2026-06-30 10:39:00,2780.0,2780.0,2770.0,2780.0,56000
2026-06-30 10:40:00,2770.0,2780.0,2770.0,2780.0,53900
2026-06-30 10:41:00,2780.0,2780.0,2770.0,2780.0,73500
2026-06-30 10:42:00,2780.0,2780.0,2770.0,2780.0,33500
2026-06-30 10:43:00,2770.0,2780.0,2770.0,2780.0,64400
2026-06-30 10:44:00,2780.0,2780.0,2770.0,2770.0,149300
2026-06-30 10:45:00,2780.0,2780.0,2770.0,2780.0,387300
2026-06-30 10:46:00,2770.0,2780.0,2770.0,2780.0,3662400
2026-06-30 10:47:00,2770.0,2770.0,2760.0,2770.0,96500
2026-06-30 10:48:00,2770.0,2770.0,2760.0,2770.0,3090100
2026-06-30 10:49:00,2770.0,2770.0,2760.0,2760.0,59400
2026-06-30 10:50:00,2770.0,2770.0,2760.0,2770.0,185400
2026-06-30 10:51:00,2770.0,2770.0,2760.0,2770.0,234700
2026-06-30 10:52:00,2770.0,2770.0,2760.0,2770.0,173200
2026-06-30 10:53:00,2770.0,2770.0,2760.0,2770.0,121100
2026-06-30 10:54:00,2770.0,2770.0,2760.0,2770.0,331000
2026-06-30 10:55:00,2770.0,2770.0,2760.0,2770.0,252100
2026-06-30 10:56:00,2770.0,2770.0,2760.0,2770.0,324900
2026-06-30 10:57:00,2770.0,2770.0,2760.0,2770.0,199000
2026-06-30 10:58:00,2760.0,2770.0,2760.0,2770.0,190500
2026-06-30 10:59:00,2760.0,2770.0,2760.0,2770.0,389400
2026-06-30 11:00:00,2760.0,2770.0,2760.0,2770.0,1130500
2026-06-30 11:01:00,2770.0,2770.0,2760.0,2760.0,571900
2026-06-30 11:02:00,2760.0,2770.0,2760.0,2770.0,304800
2026-06-30 11:03:00,2770.0,2770.0,2760.0,2770.0,309500
2026-06-30 11:04:00,2770.0,2770.0,2760.0,2770.0,295500
2026-06-30 11:05:00,2770.0,2770.0,2760.0,2770.0,316700
2026-06-30 11:06:00,2770.0,2770.0,2760.0,2770.0,529500
2026-06-30 11:07:00,2770.0,2770.0,2760.0,2770.0,153600
2026-06-30 11:08:00,2770.0,2770.0,2760.0,2770.0,185300
2026-06-30 11:09:00,2770.0,2770.0,2760.0,2770.0,154800
2026-06-30 11:10:00,2770.0,2770.0,2760.0,2770.0,75700
2026-06-30 11:11:00,2760.0,2770.0,2760.0,2770.0,788300
2026-06-30 11:12:00,2770.0,2770.0,2760.0,2760.0,85100
2026-06-30 11:13:00,2760.0,2770.0,2760.0,2770.0,91700
2026-06-30 11:14:00,2760.0,2770.0,2760.0,2770.0,377400
2026-06-30 11:15:00,2770.0,2770.0,2760.0,2760.0,295100
2026-06-30 11:16:00,2770.0,2770.0,2760.0,2770.0,93200
2026-06-30 11:17:00,2770.0,2770.0,2760.0,2770.0,102800
2026-06-30 11:18:00,2760.0,2770.0,2760.0,2770.0,205500
2026-06-30 11:19:00,2770.0,2770.0,2760.0,2760.0,223000
2026-06-30 11:20:00,2760.0,2770.0,2760.0,2770.0,204100
2026-06-30 11:21:00,2760.0,2770.0,2760.0,2770.0,152600
2026-06-30 11:22:00,2770.0,2770.0,2760.0,2760.0,329700
2026-06-30 11:23:00,2760.0,2770.0,2760.0,2770.0,389300
2026-06-30 11:24:00,2760.0,2770.0,2760.0,2770.0,195700
2026-06-30 11:25:00,2760.0,2770.0,2760.0,2770.0,195900
2026-06-30 11:26:00,2780.0,2780.0,2760.0,2760.0,9224700
2026-06-30 11:27:00,2780.0,2780.0,2770.0,2770.0,45700
2026-06-30 11:28:00,2780.0,2780.0,2770.0,2780.0,56000
2026-06-30 11:29:00,2780.0,2780.0,2770.0,2780.0,104500
2026-06-30 11:30:00,2780.0,2780.0,2770.0,2780.0,54000
2026-06-30 11:31:00,2770.0,2780.0,2770.0,2780.0,151100
2026-06-30 11:32:00,2780.0,2780.0,2770.0,2780.0,19600
2026-06-30 11:33:00,2780.0,2780.0,2770.0,2780.0,62000
2026-06-30 11:34:00,2780.0,2780.0,2770.0,2770.0,76200
2026-06-30 11:35:00,2780.0,2780.0,2770.0,2780.0,86600
2026-06-30 11:36:00,2780.0,2780.0,2770.0,2780.0,429800
2026-06-30 11:37:00,2780.0,2780.0,2770.0,2780.0,74300
2026-06-30 11:38:00,2780.0,2780.0,2770.0,2780.0,63100
2026-06-30 11:39:00,2770.0,2780.0,2770.0,2780.0,61200
2026-06-30 11:40:00,2780.0,2780.0,2770.0,2780.0,217300
2026-06-30 11:41:00,2780.0,2790.0,2770.0,2770.0,5688800
2026-06-30 11:42:00,2790.0,2790.0,2780.0,2790.0,29900
2026-06-30 11:43:00,2780.0,2790.0,2780.0,2790.0,438800
2026-06-30 11:44:00,2790.0,2790.0,2780.0,2780.0,591600
2026-06-30 11:45:00,2790.0,2790.0,2780.0,2780.0,705200
2026-06-30 11:46:00,2790.0,2790.0,2780.0,2790.0,59700
2026-06-30 11:47:00,2780.0,2790.0,2780.0,2780.0,319700
2026-06-30 11:48:00,2780.0,2790.0,2780.0,2790.0,221000
2026-06-30 11:49:00,2780.0,2790.0,2780.0,2790.0,0
2026-06-30 11:50:00,2780.0,2790.0,2780.0,2780.0,27300
2026-06-30 11:51:00,2790.0,2790.0,2780.0,2790.0,161400
2026-06-30 11:52:00,2790.0,2790.0,2780.0,2790.0,462600
2026-06-30 11:53:00,2780.0,2790.0,2780.0,2790.0,511900
2026-06-30 11:54:00,2790.0,2790.0,2780.0,2780.0,123700
2026-06-30 11:55:00,2780.0,2790.0,2780.0,2790.0,113900
2026-06-30 11:56:00,2790.0,2790.0,2780.0,2780.0,49300
2026-06-30 11:57:00,2790.0,2790.0,2780.0,2780.0,32400
2026-06-30 11:58:00,2780.0,2790.0,2780.0,2780.0,185400
2026-06-30 11:59:00,2780.0,2790.0,2780.0,2780.0,123800
2026-06-30 13:30:00,2780.0,2790.0,2780.0,2780.0,1829300
2026-06-30 13:31:00,2790.0,2790.0,2780.0,2780.0,1098400
2026-06-30 13:32:00,2790.0,2790.0,2780.0,2780.0,600300
2026-06-30 13:33:00,2780.0,2790.0,2780.0,2780.0,84800
2026-06-30 13:34:00,2780.0,2790.0,2780.0,2790.0,252900
2026-06-30 13:35:00,2780.0,2790.0,2780.0,2790.0,2043400
2026-06-30 13:36:00,2780.0,2790.0,2780.0,2780.0,526900
2026-06-30 13:37:00,2780.0,2790.0,2780.0,2780.0,75200
2026-06-30 13:38:00,2790.0,2790.0,2780.0,2780.0,460000
2026-06-30 13:39:00,2790.0,2790.0,2780.0,2780.0,278100
2026-06-30 13:40:00,2780.0,2790.0,2770.0,2790.0,1043900
2026-06-30 13:41:00,2770.0,2780.0,2770.0,2770.0,184600
2026-06-30 13:42:00,2780.0,2780.0,2770.0,2780.0,1375100
2026-06-30 13:43:00,2780.0,2780.0,2770.0,2780.0,310800
2026-06-30 13:44:00,2780.0,2780.0,2770.0,2780.0,192800
2026-06-30 13:45:00,2770.0,2780.0,2770.0,2780.0,166200
2026-06-30 13:46:00,2770.0,2780.0,2770.0,2770.0,173200
2026-06-30 13:47:00,2780.0,2780.0,2770.0,2780.0,463200
2026-06-30 13:48:00,2780.0,2780.0,2770.0,2770.0,204300
2026-06-30 13:49:00,2780.0,2780.0,2770.0,2770.0,1607900
2026-06-30 13:50:00,2780.0,2780.0,2770.0,2780.0,212300
2026-06-30 13:51:00,2770.0,2780.0,2770.0,2770.0,239700
2026-06-30 13:52:00,2780.0,2780.0,2770.0,2780.0,86900
2026-06-30 13:53:00,2780.0,2780.0,2770.0,2770.0,134000
2026-06-30 13:54:00,2780.0,2780.0,2770.0,2780.0,159400
2026-06-30 13:55:00,2770.0,2780.0,2770.0,2780.0,353600
2026-06-30 13:56:00,2770.0,2780.0,2770.0,2770.0,319700
2026-06-30 13:57:00,2780.0,2780.0,2770.0,2780.0,168500
2026-06-30 13:58:00,2770.0,2780.0,2770.0,2770.0,172200
2026-06-30 13:59:00,2770.0,2780.0,2770.0,2770.0,297800
2026-06-30 14:00:00,2770.0,2780.0,2770.0,2780.0,684700
2026-06-30 14:01:00,2780.0,2780.0,2770.0,2770.0,195200
2026-06-30 14:02:00,2770.0,2780.0,2770.0,2770.0,222900
2026-06-30 14:03:00,2770.0,2780.0,2770.0,2780.0,1848500
2026-06-30 14:04:00,2780.0,2780.0,2770.0,2780.0,201700
2026-06-30 14:05:00,2780.0,2780.0,2770.0,2780.0,307900
2026-06-30 14:06:00,2780.0,2780.0,2770.0,2780.0,1225800
2026-06-30 14:07:00,2780.0,2780.0,2770.0,2780.0,351100
2026-06-30 14:08:00,2780.0,2780.0,2770.0,2780.0,495500
2026-06-30 14:09:00,2780.0,2780.0,2770.0,2770.0,181600
2026-06-30 14:10:00,2770.0,2780.0,2770.0,2780.0,602100
2026-06-30 14:11:00,2780.0,2780.0,2770.0,2770.0,142000
2026-06-30 14:12:00,2790.0,2790.0,2780.0,2780.0,6142800
2026-06-30 14:13:00,2790.0,2790.0,2780.0,2790.0,88600
2026-06-30 14:14:00,2790.0,2790.0,2780.0,2790.0,58600
2026-06-30 14:15:00,2780.0,2790.0,2780.0,2790.0,226000
2026-06-30 14:16:00,2790.0,2790.0,2780.0,2790.0,160200
2026-06-30 14:17:00,2790.0,2800.0,2780.0,2790.0,3956400
2026-06-30 14:18:00,2800.0,2800.0,2790.0,2790.0,81800
2026-06-30 14:19:00,2800.0,2800.0,2790.0,2800.0,91700
2026-06-30 14:20:00,2790.0,2800.0,2790.0,2800.0,167100
